"species","ind","d1","altura","d2","ar","arp","prot","volume","biov","biomassa"
"nonionella sp. b",1,165.92,58,148.39,18570.44,18570.44,100,1121556.738,1121556.738,0.126735911
"nonionella sp. b",2,208.99,66,172.12,25140.39,15809.32,62.88414778,1864621.383,1172551.266,0.132498293
"nonionella sp. b",3,174.38,54,155.04,18362.27,18362.27,100,1146632.043,1146632.043,0.129569421
"nonionella sp. b",4,121.64,42,116.96,10299.62,8404.08,81.59602005,469302.5812,382932.2283,0.043271342
"nonionella sp. b",5,212.61,60,160.48,25535.29,16699.67,65.39839571,1607850.759,1051508.602,0.118820472
"nonionella sp. b",6,165.92,35,118.17,14652.6,14652.6,100,538969.1413,538969.1413,0.060903513
"nonionella sp. b",7,333.14,135,314.48,74569.82,74569.82,100,11108194.16,11108194.16,1.25522594
"nonionella sp. b",8,375.19,119,300.28,82139.44,43858.53,53.39521428,10529663.79,5622336.545,0.63532403
"nonionella sp. b",9,388.14,130,346.3,92126.57,92126.57,100,13723791.99,13723791.99,1.550788495
"nonionella sp. b",10,139.02,40,102,10737.83,10737.83,100,445479.095,445479.095,0.050339138
"nonionella sp. b",11,296.13,108,256.12,51906.28,25259.8,48.66424641,6433384.919,3130758.289,0.353775687
"nonionella sp. b",12,293.34,138,322.86,64609.52,21159.83,32.75032843,10264894.68,3361786.722,0.3798819
"nonionella sp. b",13,203.85,64,163.2,22914.53,22914.53,100,1672248.156,1672248.156,0.188964042
"nonionella sp. b",14,186.92,62,138.87,19253.61,19253.61,100,1263996.23,1263996.23,0.142831574
"nonionella sp. b",15,165.01,36,108.04,10378.66,13078.66,126.0149191,504065.788,635198.0949,0.071777385
"nonionella sp. b",16,135.24,39,97.16,9821.81,9821.81,100,402482.6434,402482.6434,0.045480539
"nonionella sp. b",17,134.79,54,112.28,11261.32,11261.32,100,641865.035,641865.035,0.072530749
"nonionella sp. b",18,127.99,38,99.58,9059.18,7258.26,80.12049656,380383.4727,304765.1272,0.034438459
"nonionella sp. b",19,327.28,117,289.48,66507.31,35065.97,52.72498617,8705901.99,4590185.62,0.518690975
"nonionella sp. b",20,283.99,112,225.63,47901.53,38586.44,80.55366916,5636477.727,4540389.621,0.513064027
"nonionella sp. b",21,184.51,52,119.68,17458.28,17458.28,100,901850.8406,901850.8406,0.101909145
"nonionella sp. b",22,176.04,54,154.13,18584.84,18584.84,100,1150753.169,1150753.169,0.130035108
"nonionella sp. b",23,172.42,55,117.72,15368.91,7304.52,47.52789886,876779.6577,416714.9489,0.047088789
"nonionella sp. b",24,150.51,46,108.65,12498.57,12498.57,100,590803.1464,590803.1464,0.066760756
"nonionella sp. b",25,136.45,42,133.58,12637.76,12637.76,100,601248.7008,601248.7008,0.067941103
"nonionella sp. b",26,217.9,60,160.78,27258.27,19867.63,72.88661386,1650936.565,1203311.759,0.135974229
"nonionella sp. b",27,151.72,54,126.78,14474.42,14474.42,100,815787.831,815787.831,0.092184025
"nonionella sp. b",28,180.28,68,129.96,17574.82,17574.82,100,1251284.446,1251284.446,0.141395142
"nonionella sp. b",29,151.72,36,105.63,11933.82,11933.82,100,453129.666,453129.666,0.051203652
"nonionella sp. b",30,131.62,40,115.9,10667.16,10667.16,100,479242.3567,479242.3567,0.054154386
"nonionella sp. b",31,136,38,95.96,9909.96,9909.96,100,389495.6626,389495.6626,0.04401301
"nonionella sp. b",32,193.57,54,144.46,21556.27,18348.07,85.11709122,1185957.98,1009452.936,0.114068182
"nonionella sp. b",33,176.65,56,153.53,18943.83,18943.83,100,1192847.158,1192847.158,0.134791729
"nonionella sp. b",34,186.32,56,164.56,21145.41,21145.41,100,1348533.261,1348533.261,0.152384259
"nonionella sp. b",35,252.25,97,206.34,38768.92,38768.92,100,3965301.523,3965301.523,0.448079072
"nonionella sp. b",36,183.3,52,137.66,17734.81,17734.81,100,1030536.682,1030536.682,0.116450645
"nonionella sp. b",37,468.81,178.5,420.42,133625.98,86757.81,64.92585499,27631746.54,17940147.69,2.027236689
"nonionella sp. b",38,356.07,111.5,265.54,70131.31,46212.09,65.89366433,8279995.186,5455992.234,0.616527122
"nonionella sp. b",39,280.38,77,214.1,43730.29,43730.29,100,3630314.96,3630314.96,0.41022559
"nonionella sp. b",40,170,60,148.69,16925.93,12895.63,76.18860529,1191164.7,907531.7716,0.10255109
"nonionella sp. b",41,120.13,44,91.12,7779.29,7779.29,100,378275.0924,378275.0924,0.042745085
"nonionella sp. b",42,200.98,54,145.37,22970.27,22970.27,100,1239114.028,1239114.028,0.140019885
"nonionella sp. b",43,200.98,56,151.41,22686.12,19122.33,84.29087918,1338398.095,1128147.521,0.12748067
"nonionella sp. b",44,327.91,107,262.03,59638.26,46475.26,77.92859819,7220700.59,5626990.749,0.635849955
"nonionella sp. b",45,267.47,94,191.16,38331.7,38331.7,100,3774764.261,3774764.261,0.426548362
"nonionella sp. b",46,387.61,175,270.11,81155.66,23701.57,29.20507331,14390091.85,4202636.874,0.474897967
"nonionella sp. b",47,179.67,56,166.07,22181.53,22151.53,99.86475234,1312334.85,1310559.948,0.148093274
"nonionella sp. b",48,139.52,50,115.3,11042.25,9484.54,85.893183,631721.504,542605.7075,0.061314445
"nonionella sp. b",49,221.23,75,165.62,26952.11,26952.11,100,2158280.786,2158280.786,0.243885729
"nonionella sp. b",50,251,103,211.25,37397.09,20930.06,55.96708193,4289409.855,2400657.528,0.271274301
"nonionella sp. b",51,234.52,93,226.06,38189.79,38189.79,100,3872366.361,3872366.361,0.437577399
"nonionella sp. b",52,171.66,72,140.99,18123.88,18123.88,100,1368610.276,1368610.276,0.154652961
"nonionella sp. b",53,443.28,180,321.79,106913.57,86391.7,80.80517749,20165689.11,16294920.88,1.841326059
"nonionella sp. b",54,301.04,105,215.81,49483.07,43230.13,87.36347603,5357657.545,4680635.865,0.528911853
"nonionella sp. b",55,199.01,64,147.18,22119.53,22119.53,100,1472290.649,1472290.649,0.166368843
"nonionella sp. b",56,430.62,188,312.14,98098.05,98098.05,100,19846839.31,19846839.31,2.242692842
"nonionella sp. b",57,216.78,75,173.8,26237.14,26237.14,100,2219321.032,2219321.032,0.250783277
"nonionella sp. b",58,183.15,63,139.93,17091.07,17091.07,100,1268084.482,1268084.482,0.143293546
"nonionella sp. b",59,146.58,54,128.29,13506.98,13506.07,99.99326274,797537.5939,797483.8617,0.090115676
"nonionella sp. b",60,132.52,54,122.85,11853.65,11853.65,100,690462.7112,690462.7112,0.078022286
"nonionella sp. b",61,173.48,93,165.47,20650.57,20650.57,100,2096725.178,2096725.178,0.236929945
"nonionella sp. b",62,155.64,64,108.2,12761.69,12761.69,100,846483.1905,846483.1905,0.095652601
"nonionella sp. b",63,237.7,80,172.27,30451.05,30451.05,100,2572875.1,2572875.1,0.290734886
"nonionella sp. b",64,210.65,70,149.6,24601.79,24601.79,100,1732530.858,1732530.858,0.195775987
"nonionella sp. b",65,212.61,60,183.75,26693.77,26693.77,100,1840993.127,1840993.127,0.208032223
"nonionella sp. b",66,134.49,42,133.73,12316.53,12316.53,100,593277.6802,593277.6802,0.067040378
"nonionella sp. b",67,111.82,28,107.44,8195.18,8195.18,100,264200.3571,264200.3571,0.02985464
"nonionella sp. b",68,125.88,39,95.2,8628.22,8628.22,100,367069.3908,367069.3908,0.041478841
"nonionella sp. b",69,340.68,170,339.74,82547.33,72406.98,87.71571412,15453687.43,13555312.29,1.531750288
"nonionella sp. b",70,192.36,66,189.95,25049.83,25049.83,100,1894034.49,1894034.49,0.214025897
"nonionella sp. b",71,350.36,135,260.89,69254.6,69254.6,100,9691602.658,9691602.658,1.0951511
"nonionella sp. b",72,269.28,88,202.19,39659.87,39659.87,100,3763018.249,3763018.249,0.425221062
"nonionella sp. b",73,326.5,106,304.86,69940.77,69940.77,100,8286657.279,8286657.279,0.936392273
"nonionella sp. b",74,346.96,140,262.9,68108.06,68108.06,100,10029699.29,10029699.29,1.13335602
"nonionella sp. b",75,339.89,120,238.45,61485.89,61485.89,100,7638478.165,7638478.165,0.863148033
"nonionella sp. b",76,190.26,68,145.64,20431.23,20431.23,100,1479881.554,1479881.554,0.167226616
"nonionella sp. b",77,163.8,64,158.82,17699.76,17699.76,100,1307642.251,1307642.251,0.147763574
"nonionella sp. b",78,137.51,52,102.6,10785.65,10785.65,100,576202.1413,576202.1413,0.065110842
"nonionella sp. b",79,158.82,47,130.71,14412.44,12345.86,85.66113718,766305.1525,656425.708,0.074176105
"nonionella sp. b",80,147.18,56,124.67,13464.12,10652.2,79.11545649,807028.1181,638483.9797,0.07214869
"nonionella sp. b",81,136.15,54,105.63,9734.52,9734.52,100,609942.0383,609942.0383,0.06892345
"nonionella sp. b",82,160.63,50,110.01,12758.11,9710.82,76.11487908,693934.8678,528187.6855,0.059685208
"nonionella sp. b",83,181.33,66,143.56,19540.62,19540.62,100,1349388.263,1349388.263,0.152480874
"nonionella sp. b",84,289.53,106,213.07,48099.67,48099.67,100,5135841.626,5135841.626,0.580350104
"nonionella sp. b",85,217.9,86,200.98,30358.64,30358.64,100,2958001.602,2958001.602,0.334254181
"nonionella sp. b",86,121.04,40,93.54,8098.27,8098.27,100,355693.6838,355693.6838,0.040193386
"nonionella sp. b",87,331.21,135,239.03,60041.78,31446.76,52.37479635,8394203.664,4396447.074,0.496798519
"nonionella sp. b",88,167.43,78,142.35,17311.24,17311.24,100,1460075.229,1460075.229,0.164988501
"nonionella sp. b",89,259.19,102,199.29,38050.9,38050.9,100,4138031.592,4138031.592,0.46759757
"nonionella sp. b",90,191.76,63,157.61,22456.18,22456.18,100,1495451.115,1495451.115,0.168985976
"nonionella sp. b",91,156.4,52,125.72,14370.31,11445.95,79.64998667,803034.7631,639617.0818,0.07227673
"nonionella sp. b",92,147.18,56,142.95,14328.84,14328.84,100,925360.3071,925360.3071,0.104565715
"nonionella sp. b",93,107.44,48,97.62,7566.31,7566.31,100,395399.3234,395399.3234,0.044680124
"nonionella sp. b",94,232.11,68,188.13,30719.89,28853.99,93.92608502,2332118.968,2190468.044,0.247522889
"nonionella sp. b",95,220.47,66,182.09,27519.73,27519.73,100,2080987.229,2080987.229,0.235151557
"nonionella sp. b",96,136.15,63,119.23,11212.07,11212.07,100,803218.3479,803218.3479,0.090763673
"nonionella sp. b",97,221.68,87,206.42,35101.42,35101.42,100,3126708.689,3126708.689,0.353318082
"nonionella sp. b",98,227.12,66,174.68,29951.04,29951.04,100,2056517.359,2056517.359,0.232386462
"nonionella sp. b",99,220.89,80,181.97,30599.4,30599.4,100,2525548.533,2525548.533,0.285386984
"nonionella sp. b",100,284.69,86,229.27,48978.67,48978.67,100,4408671.868,4408671.868,0.498179921
"nonionella sp. b",101,219.87,66,209.44,34008.18,34008.18,100,2387038.494,2387038.494,0.26973535
"nonionella sp. b",102,259.46,87,246.01,44770.81,44770.81,100,4361464.167,4361464.167,0.492845451
"nonionella sp. b",103,156.4,40,130.11,15130.73,15130.73,100,639289.098,639289.098,0.072239668
"nonionella sp. b",104,564.98,294,547.67,222371.21,102424.9,46.06032409,71447862.1,32909116.84,3.718730202
"nauricula",1,234.98,60,208.38,32321.17,21633.94,66.93427249,2307427.504,1544459.813,0.174523959
"nauricula",2,215.03,60,204.18,29931.16,29931.16,100,2068966.154,2068966.154,0.233793175
"nauricula",3,218.51,72.5,144.46,23315.46,18351.45,78.7093628,1797408.601,1414728.857,0.159864361
"nauricula",4,105.63,40,89.91,6912.61,4159.34,60.1703264,298363.127,179526.0674,0.020286446
"nauricula",5,180.88,60,137.81,17516.66,15320.74,87.46382016,1174660.632,1027403.063,0.116096546
"nauricula",6,148.09,42.5,108.04,11104.32,11104.32,100,534058.8548,534058.8548,0.060348651
"nauricula",7,185.87,65.5,131.16,18629.54,6549.31,35.15551109,1254128.07,440895.1327,0.04982115
"nauricula",8,188.74,90,186.32,24045.04,16907.95,70.31782854,2485740.665,1747918.859,0.197514831
"nauricula",9,191.16,72,143.1,18891.6,18891.6,100,1546888.581,1546888.581,0.17479841
"nauricula",10,248.88,81.5,207.63,37534.21,31169.24,83.04221669,3307711.264,2746796.755,0.310388033
"nauricula",11,186.32,55,142.04,17694.23,17694.23,100,1143201.301,1143201.301,0.129181747
"nauricula",12,213.07,80,197.35,28598.6,22772.31,79.62735938,2642039.492,2103786.282,0.23772785
"nauricula",13,160.78,42.5,140.23,14999.83,14999.83,100,752578.4355,752578.4355,0.085041363
"nauricula",14,138.42,47,100.79,10353.32,7548.42,72.90820722,514996.2059,375474.501,0.042428619
"nauricula",15,134.19,44.5,103.21,9713.28,3728.27,38.38322379,484051.7821,185794.6788,0.020994799
"nauricula",16,117.87,36,89.76,8203.19,8203.19,100,299142.7692,299142.7692,0.033803133
"nauricula",17,136.6,39,89.31,9360.73,5395.73,57.64219244,373684.666,215400.0343,0.024340204
"nauricula",18,214.28,66,152.92,23733.75,11866.46,49.99825144,1698555.508,849248.0537,0.09596503
"nauricula",19,135.4,32,129.35,11851.87,11851.87,100,440174.5786,440174.5786,0.049739727
"nauricula",20,167.58,51,127.99,14946.85,11576.51,77.45116864,859128.8096,665405.3031,0.075190799
"nauricula",21,204.45,67.5,144.46,21170.26,17311.29,81.77174017,1565771.485,1280358.59,0.144680521
"nauricula",22,240.87,78,162.75,29375.08,29375.08,100,2401530.983,2401530.983,0.271373001
"nauricula",23,177.86,56,126.18,16322.23,16322.23,100,987067.1973,987067.1973,0.111538593
"nauricula",24,121.34,44,98.22,8176.4,8176.4,100,411857.0252,411857.0252,0.046539844
"nauricula",25,191.76,64,159.57,20762.37,16245.46,78.24472832,1538080.696,1203467.062,0.135991778
"nauricula",26,242.93,63.5,192.56,32793.28,29638.68,90.38034622,2332979.025,2108554.52,0.238266661
"nauricula",27,117.87,40,105.63,8233.99,8233.99,100,391147.3894,391147.3894,0.044199655
"nauricula",28,165.62,59,130.41,16277.11,16277.11,100,1000842.106,1000842.106,0.113095158
"nauricula",29,149.9,44,125.12,14069.88,8803.66,62.5709672,648143.1366,405549.4294,0.045827086
"nauricula",30,184.51,60,172.42,22435.09,15122.4,67.40512296,1499162.4,1010512.259,0.114187885
"nauricula",31,272.02,72,220.95,42119.21,42119.21,100,3398734.344,3398734.344,0.384056981
"nauricula",32,146.58,44,121.95,12285.92,8950.52,72.85184992,617730.5499,450028.1331,0.050853179
"nauricula",33,110.61,22,105.93,8195.9,8195.9,100,202453.7972,202453.7972,0.022877279
"nauricula",34,133.88,31.5,126.03,11798.58,11798.58,100,417436.1681,417436.1681,0.047170287
"nauricula",35,181.51,63,134.47,17346.29,17346.29,100,1207692.565,1207692.565,0.13646926
"nauricula",36,142.95,48,115.3,11345.13,11345.13,100,621361.8509,621361.8509,0.070213889
"nauricula",37,113.03,38,108.65,8595.38,4945.91,57.54149322,366519.3741,210900.7208,0.023831781
"nauricula",38,288.9,81,203.03,43644.16,43644.16,100,3731493.219,3731493.219,0.421658734
"nauricula",39,207.63,52,163.65,24837.59,24837.59,100,1387711.984,1387711.984,0.156811454
"nauricula",40,222.89,58.5,163.65,25865.16,21106.63,81.60254953,1675916.363,1367590.481,0.154537724
"nauricula",41,178.31,48,152.02,17727.01,17727.01,100,1021897.995,1021897.995,0.115474473
"nauricula",42,93.39,25,88.55,5932.34,5932.34,100,162374.8755,162374.8755,0.018348361
"nauricula",43,95.96,25,90.36,5949.41,5949.41,100,170253.6188,170253.6188,0.019238659
"nauricula",44,250.8,76,167.75,32492.48,32492.48,100,2511270.73,2511270.73,0.283773592
"nauricula",45,126.33,40,90.36,7837.77,7837.77,100,358618.4186,358618.4186,0.040523881
"nauricula",46,151.41,46.5,131.32,13746.25,7526.28,54.75151405,726153.2205,397579.8826,0.044926527
"nauricula",47,191.76,43.5,133.73,18367.65,18367.65,100,876124.8608,876124.8608,0.099002109
"nauricula",48,178.46,61,135.09,17712.41,17712.41,100,1155004.847,1155004.847,0.130515548
"nauricula",49,134.94,39,92.78,9195.55,4384.57,47.68143287,383486.043,182851.6402,0.020662235
"nauricula",50,224.7,70.5,152.77,23564.94,17137.32,72.7238007,1900728.775,1382282.206,0.156197889
"nauricula",51,111.67,50,105.63,8601.26,8601.26,100,463216.1383,463216.1383,0.052343424
"nauricula",52,128.9,29,93.99,8771.55,5762.86,65.69944879,275944.9473,181294.3093,0.020486257
"nauricula",53,203.24,63.5,143.56,21502.7,3335.1,15.51014524,1455144.904,225695.088,0.025503545
"nauricula",54,170.91,58.5,168.64,19112.44,19112.44,100,1324261.689,1324261.689,0.149641571
"nauricula",55,155.8,49,140.53,15664.47,12547.15,80.09942245,842601.9523,674919.2974,0.076265881
"nauricula",56,109.4,19.5,97.16,7246.9,7246.9,100,162790.5989,162790.5989,0.018395338
"nauricula",57,204.5,53.5,136.15,20842.9,20842.9,100,1169915.841,1169915.841,0.13220049
"nauricula",58,125.88,32.5,90.97,8597.75,8597.75,100,292299.5666,292299.5666,0.033029851
"nauricula",59,142.95,31.5,136.91,13511.88,13511.88,100,484194.4035,484194.4035,0.054713968
"nauricula",60,114.69,35,108.65,9025.65,9025.65,100,342541.511,342541.511,0.038707191
"nauricula",61,97.62,35,89.76,6403.6,6403.6,100,240868.2587,240868.2587,0.027218113
"nauricula",62,133.13,38.5,105.63,9934.73,9934.73,100,425220.1367,425220.1367,0.048049875
"nauricula",63,196.6,50.5,140.53,19569.68,12408.17,63.40507356,1095806.366,694796.8328,0.078512042
"nauricula",64,170.91,42.5,125.88,15056.3,13243.98,87.96304537,718129.9174,631688.9451,0.071380851
"nauricula",65,152.17,48,126.48,12917.67,12917.67,100,725574.5085,725574.5085,0.081989919
"nauricula",66,139.17,41.5,108.65,10427.19,10427.19,100,492848.383,492848.383,0.055691867
"nauricula",67,128.29,35,95.2,9137.51,9137.51,100,335728.0897,335728.0897,0.037937274
"nauricula",68,115.45,48,114.84,8553.91,4998.89,58.43982459,499825.3052,292097.0317,0.033006965
"nauricula",69,133.03,42.5,121.04,10946.88,10946.88,100,537473.8233,537473.8233,0.060734542
"nauricula",70,162.44,64.5,108.65,13897.15,13897.15,100,894071.6159,894071.6159,0.101030093
"nauricula",71,170.45,60,141.74,16596.57,11658.38,70.24571945,1138493.527,799742.969,0.090370955
"nauricula",72,192.97,63,153.98,20405.6,15910.67,77.97207629,1470227.504,1146366.911,0.129539461
"nauricula",73,117.26,41,110.46,9565.94,9565.94,100,417088.9334,417088.9334,0.047131049
"nauricula",74,145.97,51.5,110.61,11924.74,8671.58,72.71923748,653063.0478,474902.4686,0.053663979
"nauricula",75,102.17,36,95.19,7018.01,7018.01,100,274983.7957,274983.7957,0.031073169
"nauricula",76,176.79,55,128.32,16393.81,13485.64,82.26056054,979951.5805,806113.6631,0.091090844
"nauricula",77,161.97,57.5,112.1,13249.17,13249.17,100,819969.92,819969.92,0.092656601
"nauricula",78,118.38,53.5,116.29,9531.15,7839.27,82.24894163,578448.061,475767.408,0.053761717
"nauricula",79,115.59,43.5,107.05,8736.3,8736.3,100,422752.3922,422752.3922,0.04777102
"nauricula",80,97.28,25,82.99,5783.47,5783.47,100,158518.2308,158518.2308,0.01791256
"nauricula",81,100.79,27.5,92.93,6478.68,6478.68,100,202300.0349,202300.0349,0.022859904
"nauricula",82,233.48,70,155.29,26785.25,26785.25,100,1993338.689,1993338.689,0.225247272
"nauricula",83,205.96,70,200.51,28459.76,28459.25,99.998208,2270423.334,2270382.648,0.256553239
"nauricula",84,242.47,66.5,236.75,38522.65,38522.65,100,2998192.593,2998192.593,0.338795763
"nauricula",85,180.62,35.5,126.68,17185.91,17185.91,100,637958.0577,637958.0577,0.072089261
"nauricula",86,150.27,40.5,137.88,13751.93,9609.9,69.88037315,659050.1539,460546.7068,0.052041778
"nauricula",87,152.34,59.5,137.88,13394.53,13394.53,100,981571.8006,981571.8006,0.110917613
"nauricula",88,145.22,43.5,105.63,10661.43,8394.66,78.73859323,524074.2851,412648.7196,0.046629305
"nauricula",89,130.71,40,102,8740.41,8740.41,100,418850.3273,418850.3273,0.047330087
"nauricula",90,154.44,48,111.22,12296.64,12296.64,100,647550.7377,647550.7377,0.073173233
"nauricula",91,261.42,79,175.89,33186.27,33186.27,100,2852968.207,2852968.207,0.322385407
"nauricula",92,136.76,35,115.45,11016.63,8004.54,72.65869871,434021.2118,315354.1646,0.035635021
"nauricula",93,120.89,44,117.87,10253.41,10253.41,100,492420.6068,492420.6068,0.055643529
"nauricula",94,108.8,32.5,100.79,7599.5,5921.92,77.92512665,279910.7533,218120.809,0.024647651
"nauricula",95,224.25,72.5,172.87,27366.86,27366.86,100,2207394.579,2207394.579,0.249435587
"nauricula",96,172.27,44,135.09,16129.09,16129.09,100,804221.0074,804221.0074,0.090876974
"nauricula",97,156.21,45.5,122.11,13164.47,13164.47,100,681649.8472,681649.8472,0.077026433
"nauricula",98,129.9,33,126.01,11244.4,11244.4,100,424246.2224,424246.2224,0.047939823
"nauricula",99,137.21,35,102.46,10109.29,10109.29,100,386454.2089,386454.2089,0.043669326
"nauricula",100,109.61,35,91.26,7275.24,7575.24,104.1235753,274972.0604,286310.7404,0.032353114
"nauricula",101,191.16,62.5,153.98,20647.03,18155.21,87.93133928,1444878.191,1270500.744,0.143566584
"nauris",1,212.27,84,195.15,28753.93,14995,52.1493931438242,2732916.37606035,1425199.30524366,0.161047521492534
"nauris",2,213.74,90,211.53,32583.05,23242.07,71.3317814016797,3195877.802694,2279676.56808249,0.257603452193321
"nauris",3,284.57,107.5,229.35,45967.55,15391.13,33.4825980501462,5510439.06166572,1845038.16181578,0.208489312285183
