"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa","d2"
"pcomata",1,200,383.8,191.9,115688.63,71543.77,61.84166067,29601487.3834503,18306051.3813628,2.068583806094,NA
"pcomata",2,174,317.83,158.92,79338.32,79338.32,100,16810602.7718229,16810602.7718229,1.89959811321599,NA
"pcomata",3,182,356.74,178.37,67746.32,67746.32,100,23771360.9381573,23771360.9381573,2.68616378601178,NA
"pcomata",4,185,298.16,149.08,69820.81,25617.42,36.69023605,13878635.2359015,5092104.0283676,0.575407755205539,NA
"pcomata",5,126,211.48,105.74,35127.47,19539.47,55.62447281,4952295.23469564,2754688.11643646,0.31127975715732,NA
"pcomata",6,142,260.03,130.02,53106.23,11893.41,22.39550802,9205958.02364896,2061721.06771742,0.232974480652068,NA
"pcomata",7,186,318.19,159.09,79516.21,79516.21,100,16867790.6492797,16867790.6492797,1.90606034336861,NA
"pcomata",8,147,273.36,136.68,58690.05,51985.01,88.57550811,10695559.787467,9473646.42741091,1.07052204629743,NA
"pcomata",9,148,256.66,128.33,51738.73,25658.48,49.59240399,8852647.919718,4390240.92000569,0.496097223960642,NA
"pcomata",10,127,257.42,147.84,68663.19,68663.19,100,8931522.16394253,8931522.16394253,1.00926200452551,NA
"pcomata",11,196,304.99,152.49,73055.79,73055.79,100,14854410.527075,14854410.527075,1.67854838955948,NA
"pcomata",12,104,190.89,95.44,28618.58,28618.58,100,3642068.88988517,3642068.88988517,0.411553784557024,NA
"pcomata",13,177,308.62,154.31,74807.12,10238.93,13.68710625,15391141.2241391,2106601.8530599,0.238046009395769,NA
"pcomata",14,124,259.17,129.58,52754.39,8919.86,16.90828005,9114918.89302836,1541176.0127862,0.17415288944484,NA
"pcomata",15,125,219.87,109.93,37966.76,37966.76,100,5565402.15187958,5565402.15187958,0.628890443162392,NA
"pcomata",16,103,218.21,109.1,37396.88,23575,63.04001831,5440296.50716871,3429563.91432928,0.387540722319209,NA
"pcomata",17,97,244.47,122.23,46938.16,46938.16,100,7650244.93358783,7650244.93358783,0.864477677495425,NA
"ppseudoinornata",1,196,316.12,158.06,78486.7,78486.7,100,16540725.0335986,16540725.0335986,1.86910192879664,NA
"ppseudoinornata",2,143,244.83,122.42,47078.71,47078.71,100,7684091.36583212,7684091.36583212,0.86830232433903,NA
"ppseudoinornata",3,91,165.51,82.75,21514.33,21514.33,100,2373948.74697941,2373948.74697941,0.268256208408673,NA
"ppseudoinornata",4,136,243.45,121.73,27795.18,14495.98,52.1528552792247,7554886.75856892,3940089.15770576,0.445230074820751,NA
"ppseudoinornata",5,273,386.97,193.48,117609.97,117609.97,100,30341043.616943,30341043.616943,3.42853792871456,NA
"ppseudoinornata",6,136,211.18,105.59,35025.19,8783.91,25.0788361176627,4931249.52813217,1236699.98771328,0.139747098611601,NA
"ppseudoinornata",7,180,304.99,152.49,73055.62,10582.51,14.4855522408817,14854410.527075,2151743.39697448,0.243147003858116,NA
"ppseudoinornata",8,257,461.01,230.5,98833.52,71490.22,72.3339814265444,51301452.3654694,37108383.0255861,4.19324728189123,NA
"ppseudoinornata",9,207,340.62,170.31,91123.1,20310.38,22.288947588482,20692313.8147364,4612098.98101081,0.521167184854222,NA
"ppseudoinornata",10,182,284.7,142.35,63661.2,63661.2,100,12082617.4050451,12082617.4050451,1.36533576677009,NA
"ppseudoinornata",11,182,290.61,145.31,66332.25,18090.73,27.2729026981596,12850803.5840136,3504787.15739964,0.396040948786159,NA
"ppseudoinornata",12,190,319.92,159.96,80383.5,80383.5,100,17144419.9342573,17144419.9342573,1.93731945257108,NA
"ppseudoinornata",13,162,267.91,133.95,56371.07,23725.23,42.0875991887328,10068514.3989312,4237595.98448201,0.478848346246467,NA
"ppseudoinornata",14,137,209.33,104.67,34416.86,13715.25,39.8503814700121,4802783.86229494,1913927.69030471,0.216273829004433,NA
"ppseudoinornata",15,171,291.84,145.92,66891.12,66891.12,100,13014667.3538532,13014667.3538532,1.47065741098542,NA
"ppseudoinornata",16,160,277.33,138.67,60406.99,60406.99,100,11168354.1576139,11168354.1576139,1.26202401981037,NA
"ppseudoinornata",17,180,355.49,177.74,99250.56,99250.56,100,23522354.3313992,23522354.3313992,2.65802603944811,NA
"ppseudoinornata",18,197,380.43,190.22,113669.36,113669.36,100,28828556.3128387,28828556.3128387,3.25762686335077,NA
"ppseudoinornata",19,196,309.26,154.63,75115.78,75115.78,100,15487091.9558139,15487091.9558139,1.75004139100697,NA
"ppseudoinornata",20,183,342.59,171.29,92179.74,92179.74,100,21053420.6792919,21053420.6792919,2.37903653675998,NA
"ppseudoinornata",21,119,218.67,109.34,37556.35,37556.35,100,5474774.51825619,5474774.51825619,0.61864952056295,NA
"ppseudoinornata",22,278,419.32,209.66,138095.3,138095.3,100,38604270.8271526,38604270.8271526,4.36228260346824,NA
"ppseudoinornata",23,152,282.84,141.42,62829.38,37606.94,59.8556598839588,11847346.9802913,7091307.71379563,0.801317771658906,NA
"ppseudoinornata",24,155,308.24,154.12,74624.48,74624.48,100,15334358.4303767,15334358.4303767,1.73278250263257,NA
"ppseudoinornata",25,158,295.37,147.69,68522.38,27473,40.0934701917826,13492666.0460046,5409678.03923163,0.611293618433174,NA
"ppseudoinornata",26,210,332.19,166.1,86671.23,45601.42,52.6142527341541,19193681.6073209,10098612.1498647,1.14114317293471,NA
"ppseudoinornata",27,176,347.2,173.6,94677.35,94677.35,100,21914813.1376283,21914813.1376283,2.476373884552,NA
"ppseudoinornata",28,171,351.07,175.54,96802.82,62460.01,64.5229240222547,22655819.718351,14618197.3434906,1.65185629981444,NA
"ppseudoinornata",29,156,299.67,149.84,70531.45,70531.45,100,14090565.5911875,14090565.5911875,1.59223391180419,NA
"ppseudoinornata",30,168,313.45,156.73,77168.31,77168.31,100,16125138.1800021,16125138.1800021,1.82214061434024,NA
"ppseudoinornata",31,156,261.97,130.88,53900.24,23423,43.4562072450883,9413547.15958554,4090770.56278362,0.462257073594549,NA
"ppseudoinornata",32,120,216.06,108.03,36665.31,36665.31,100,5281067.73311114,5281067.73311114,0.596760653841558,NA
"psubsphaerica",1,178,245.48,NA,38432.83,38432.83,100,4769788.67019837,4769788.67019837,0.538986119732416,208.48
"psubsphaerica",2,169,239.98,NA,32912.95,6665.16,20.2508738961412,3847429.15185316,779138.025785157,0.0880425969137227,181.18
"psubsphaerica",3,187,233.77,NA,34737.3,7129.76,20.5247961125361,4444608.39774604,912246.811638032,0.103083889715098,194.18
"psubsphaerica",4,87,116.57,NA,13161.39,1949.75,14.8141647652718,619001.167189513,91699.8528064097,0.0103620833671243,116.57
"psubsphaerica",5,180,250.69,NA,32577.5,32577.15,99.9989256388612,4002409.71287566,4002366.71254109,0.452267438517143,169.4
"psubsphaerica",6,85,137.81,NA,11492.09,4555.98,39.6444859029123,681232.019562355,270070.931961523,0.0305180153116521,111.07
"psubsphaerica",7,122,172.72,NA,20866.05,20866.05,100,1770606.27102704,1770606.27102704,0.200078508626056,160.48
"psubsphaerica",8,196,286.18,NA,54198.23,54198.23,100,7175807.30761867,7175807.30761867,0.81086622576091,244.33
"psubsphaerica",9,324,395.02,NA,86229.81,20838.68,24.1664454554637,19397746.3019829,4687745.77965793,0.529715273101346,289.46
"psubsphaerica",10,178,262.28,NA,43689.09,43689.09,100,5431600.93335631,5431600.93335631,0.613770905469263,222.2
"psubsphaerica",11,260,326.36,NA,65792.98,23170,35.2165231001849,11467631.4128123,4038501.06553711,0.456350620405694,258.11
"psubsphaerica",12,326,389.35,NA,100960.87,100960.87,100,22982324.3385889,22982324.3385889,2.59700265026055,345.81
"psubsphaerica",13,330,379.35,NA,107441.15,107441.15,100,24293019.7007606,24293019.7007606,2.74511122618595,370.62
"psubsphaerica",14,290,338.52,NA,80837.73,80837.73,100,15822083.6903245,15822083.6903245,1.78789545700667,307.81
"psubsphaerica",15,336,428.98,NA,127374.87,69930.88,54.9016301253144,28640904.215983,15724323.2972045,1.77684853258411,379.5
"psubsphaerica",16,280,373.89,NA,92179.13,92179.13,100,18260018.4192926,18260018.4192926,2.06338208138006,333.12
"psubsphaerica",17,247,302.64,NA,54876.76,54876.76,100,9450767.95841596,9450767.95841596,1.067936779301,241.46
"psubsphaerica",18,361,538.09,NA,167506.79,167506.79,100,41648948.9294708,41648948.9294708,4.70633122903021,409.49
"psubsphaerica",19,149,208.23,NA,24388.38,24388.38,100,2570171.6002765,2570171.6002765,0.290429390831244,158.21
