"ind","altura","ar","arp","prot","volume","biov","biomassa"
1,45,152588.51,70717.79,46.3454227320261,6866482.95,3182300.55,0.35959996215
2,30,60262.8,26076.4,43.2711390775072,1807884,782292,0.088398996
3,50.5,80041.73,27007.95,33.742336653643,4042107.365,1363901.475,0.154120866675
4,63,161527.38,34490.35,21.3526338383004,10176224.94,2172892.05,0.24553680165
5,30,95011.89,14470.41,15.2301043585177,2850356.7,434112.3,0.0490546899
6,32,193838.3,74256.2,38.3083219363769,6202825.6,2376198.4,0.2685104192
7,40,188278.68,162594.25,86.3582908059479,7531147.2,6503770,0.73492601
8,36,28947.31,28947.31,100,1042103.16,1042103.16,0.11775765708
9,44,185893.24,153064.37,82.3399333940277,8179302.56,6734832.28,0.76103604764
10,53,99269.24,38284.34,38.5661661155057,5261269.72,2029070.02,0.22928491226
11,55,49157.18,49157.18,100,2703644.9,2703644.9,0.3055118737
12,66,169717.92,76665.04,45.1720360466355,11201382.72,5059892.64,0.57176786832
13,66,226993.12,152503.02,67.183983373593,14981545.92,10065199.32,1.13736752316
14,40,349085.58,268879.31,77.0238948283112,13963423.2,10755172.4,1.2153344812
15,51,355901.19,318905.73,89.6051316939963,18150960.69,16264192.23,1.83785372199
16,56,106873.07,72123.06,67.4847835848638,5984891.92,4038891.36,0.45639472368
17,62,394111.84,322547.05,81.8415021482227,24434934.08,19997917.1,2.2597646323
18,38,136009.09,136009.09,100,5168345.42,5168345.42,0.58402303246
19,64,229501.15,190981.18,83.2157834503226,14688073.6,12222795.52,1.38117589376
20,61.5,220674.86,220674.09,99.9996510703575,13571503.89,13571456.535,1.533574588455
21,54,460274.86,320391.86,69.6088115696782,24854842.44,17301160.44,1.95503112972
22,58.6666666666667,368728.61,157233.22,42.641990812701,21632078.4533333,9224348.90666667,1.04235142645333
23,46,91751.1,48535.84,52.8994638756375,4220550.6,2232648.64,0.25228929632
24,66.6666666666667,133677.1,24316.34,18.1903557153768,8911806.66666667,1621089.33333333,0.183183094666667
25,56,18365.74,18365.74,100,1028481.44,1028481.44,0.11621840272
26,52,155529.85,155529.85,100,8087552.2,8087552.2,0.9138933986
27,54.5,45039.47,45039.47,100,2454651.115,2454651.115,0.277375575995
28,51.5,37482.06,24392.72,65.0783868335945,1930326.09,1256225.08,0.14195343404
29,45,37815.59,37815.59,100,1701701.55,1701701.55,0.19229227515
30,41.3333333333333,13968.36,13968.36,100,577358.88,577358.88,0.06524155344
31,56,67297.85,27511.85,40.8807265016639,3768679.6,1540663.6,0.1740949868
32,40,3449.99,3449.99,100,137999.6,137999.6,0.0155939548
33,49.5,31904.64,31904.64,100,1579279.68,1579279.68,0.17845860384
34,61.6666666666667,216625.43,78733.54,36.345474305579,13358568.1833333,4855234.96666667,0.548641551233333
35,53,45909.85,45909.85,100,2433222.05,2433222.05,0.27495409165
36,55,41627.86,41627.86,100,2289532.3,2289532.3,0.2587171499
37,50,255486.25,137386.31,53.7744438301474,12774312.5,6869315.5,0.7762326515
38,42.6666666666667,38117.75,38117.75,100,1626357.33333333,1626357.33333333,0.183778378666667
39,48,270689.3,178285.09,65.8633680755021,12993086.4,8557684.32,0.96701832816
40,26,4382.87,2817.71,64.2891529979214,113954.62,73260.46,0.00827843198
41,22,4022.22,4022.22,100,88488.84,88488.84,0.00999923892
42,34,33842.4,33842.4,100,1150641.6,1150641.6,0.1300225008
43,53,162872.07,151910.89,93.2700677286167,8632219.71,8051277.17,0.90979432021
44,57.5,101200.97,48261.88,47.6891476435453,5819055.775,2775058.1,0.3135815653
45,47.5,89167.27,57767.54,64.7855878059292,4235445.325,2743958.15,0.31006727095
46,33,156943.71,156943.71,100,5179142.43,5179142.43,0.58524309459
47,40,37416.78,37416.78,100,1496671.2,1496671.2,0.1691238456
48,32.6666666666667,131254.99,56920.32,43.3662141149834,4287663.00666667,1859397.12,0.21011187456
49,67.5,233754.47,85061.7,36.3893362124797,15778426.725,5741664.75,0.64880811675
50,79,91383.18,91383.18,100,7219271.22,7219271.22,0.81577764786
51,54.6666666666667,466708.93,466708.93,100,25513421.5066667,25513421.5066667,2.88301663025333
52,27.3333333333333,132080.27,32372.06,24.5093835740948,3610194.04666667,884836.306666667,0.0999865026533334
53,48,197317.42,102571.54,51.9830129544568,9471236.16,4923433.92,0.55634803296
54,66.5,121448.97,64291.03,52.9366613813192,8076356.505,4275353.495,0.483114944935
55,49.3333333333333,527558.43,217701.53,41.2658612999512,26026215.88,10739942.1466667,1.21361346257333
56,59.3333333333333,294149,101404.31,34.4737904939333,17452840.6666667,6016655.72666667,0.679882097113333
57,43.5,251197.01,251197.01,100,10927069.935,10927069.935,1.234758902655
58,64,80913.13,51355.22,63.4695753334471,5178440.32,3286734.08,0.37140095104
59,39,91903,34534.96,37.5776198818319,3584217,1346863.44,0.15219556872
60,55,11832.53,11832.53,100,650789.15,650789.15,0.07353917395
61,55.3333333333333,234067.11,203234.55,86.82747012171,12951713.42,11245645.1,1.2707578963
62,50,25367.32,25367.32,100,1268366,1268366,0.143325358
63,46.6666666666667,45612.91,21192.15,46.460859436506,2128602.46666667,988967,0.111753271
64,45.3333333333333,73311.92,46653.53,63.6370320133479,3323473.70666667,2114960.02666667,0.238990483013333
65,44.5,415100.71,208896.92,50.3243947715724,18471981.595,9295912.94,1.05043816222
66,56.6666666666667,440945.82,215874.33,48.9571099687485,24986929.8,12232878.7,1.3823152931
67,43.5,91100.66,30918.23,33.9385356813002,3962878.71,1344943.005,0.151978559565
68,43,58605.41,12790.58,21.8249134337598,2520032.63,549994.94,0.06214942822
69,36.6666666666667,18423.07,18423.07,100,675512.566666667,675512.566666667,0.0763329200333333
70,52.6666666666667,127888.98,127888.98,100,6735486.28,6735486.28,0.76110994964
71,63.3333333333333,314326.83,213436,67.9025713458822,19907365.9,13517613.3333333,1.52749030666667
72,59,175387.73,155677.55,88.7619390478456,10347876.07,9184975.45,1.03790222585
73,22,140560.38,70905.1,50.4445847400242,3092328.36,1559912.2,0.1762700786
74,55,115251.76,11525.76,10.0005067167738,6338846.8,633916.8,0.0716325984
75,54.6666666666667,217001.49,217001.49,100,11862748.12,11862748.12,1.34049053756
76,54,566523.57,566523.57,100,30592272.78,30592272.78,3.45692682414
77,45.3333333333333,127569.74,64760.75,50.764977650656,5783161.54666667,2935820.66666667,0.331747735333333
78,44.6666666666667,461944.08,358824.31,77.677001510659,20633502.24,16027485.8466667,1.81110590067333
79,57.3333333333333,175010.16,175010.16,100,10033915.84,10033915.84,1.13383248992
80,34,37908.1,37908.1,100,1288875.4,1288875.4,0.1456429202
81,52.6666666666667,136050.76,80803.97,59.3925164401875,7165340.02666667,4255675.75333333,0.480891360126667
82,52.5,106337.04,106337.04,100,5582694.6,5582694.6,0.6308444898
83,57.3333333333333,96596.54,22071.56,22.8492242061672,5538201.62666667,1265436.10666667,0.142994280053333
84,70.6666666666667,76155.44,51247.12,67.2927895892926,5381651.09333333,3621463.14666667,0.409225335573333
85,61,238138.66,32130.75,13.4924543541145,14526458.26,1959975.75,0.22147725975
86,71,251772.54,51697.39,20.5333711134661,17875850.34,3670514.69,0.41476815997
87,64,148215.91,40208.26,27.1281672797475,9485818.24,2573328.64,0.29078613632
88,26,12690.01,12690.01,100,329940.26,329940.26,0.03728324938
89,42.5,258852.79,82173.95,31.7454372425346,11001243.575,3492392.875,0.394640394875
90,71.3333333333333,21502.24,14469.74,67.2941051722983,1533826.45333333,1032174.78666667,0.116635750893333
91,54.6666666666667,25457.12,25457.12,100,1391655.89333333,1391655.89333333,0.157257115946667
92,62.6666666666667,264129.91,264129.91,100,16552141.0266667,16552141.0266667,1.87039193601333
93,58,138647.82,24707.19,17.8201070885932,8041573.56,1433017.02,0.16193092326
94,68.6666666666667,224010.83,114455.88,51.0939047009468,15382076.9933333,7859303.76,0.88810132488
95,75.6666666666667,256782.81,157669.94,61.4020619215126,19429899.29,11930358.7933333,1.34813054364667
96,56,45231.87,32885.88,72.7051081460926,2532984.72,1841609.28,0.20810184864
97,50,53603.17,20695.91,38.6094889537317,2680158.5,1034795.5,0.1169318915
98,65,39225.78,39225.78,100,2549675.7,2549675.7,0.2881133541
99,67,344711.7,63043.56,18.288778709861,23095683.9,4223918.52,0.47730279276
100,68.6666666666667,119165,50989.1,42.7886543867746,8182663.33333333,3501251.53333333,0.395641423266667
101,66,323293.11,279429.6,86.4322781268057,21337345.26,18442353.6,2.0839859568
102,84.6666666666667,186526.24,96757.5,51.8733986167308,15792554.9866667,8192135,0.925711255
103,46,102154.6,33755.43,33.043475281583,4699111.6,1552749.78,0.17546072514
104,55.3333333333333,318713.56,202807.71,63.6332228851512,17635483.6533333,11222026.62,1.26808900806
105,71,224133.25,224133.25,100,15913460.75,15913460.75,1.79822106475
106,50.6666666666667,31664.12,31664.12,100,1604315.41333333,1604315.41333333,0.181287641706667
107,68,40633.99,40633.99,100,2763111.32,2763111.32,0.31223157916
108,75,182519.93,182519.93,100,13688994.75,13688994.75,1.54685640675
109,65,128562.54,57174.14,44.4718500427885,8356565.1,3716319.1,0.4199440583
110,51,106468.27,65379.66,61.4076475554642,5429881.77,3334362.66,0.37678298058
111,70.5,297125.39,297125.39,100,20947339.995,20947339.995,2.367049419435
112,58.3333333333333,243002.76,69005.01,28.3968009252241,14175161,4025292.25,0.45485802425
113,49.3333333333333,121654.91,14855.09,12.2108429491255,6001642.22666667,732851.106666667,0.0828121750533333
114,50,16272.35,9445.4,58.0457032942384,813617.5,472270,0.05336651
115,47,61460.33,31346.57,51.0029314844226,2888635.51,1473288.79,0.16648163327
116,92.5,77962.94,49330.76,63.2746276628357,7211571.95,4563095.3,0.5156297689
117,58.5,34949.08,34949.08,100,2044521.18,2044521.18,0.23103089334
118,85,242811.32,149810.02,61.6981201700151,20638962.2,12733851.7,1.4389252421
119,42.5,235466.96,180169.51,76.5158347481107,10007345.8,7657204.175,0.865264071775
120,52,63654.2,30728.01,48.2733425288512,3310018.4,1597856.52,0.18055778676
121,27,30458.43,20304.59,66.6632850084525,822377.61,548223.93,0.06194930409
122,87,296702.22,180710.01,60.9061873551199,25813093.14,15721770.87,1.77656010831
123,67.2,339934.49,206070.33,60.6206007516331,22843597.728,13847926.176,1.564815657888
124,95.6,349359.62,282230.91,80.7852120974943,33398779.672,26981274.996,3.048884074548
125,84,33300.16,33300.16,100,2797213.44,2797213.44,0.31608511872
126,49.5,65109.49,52530.44,80.6801589138542,3222919.755,2600256.78,0.29382901614
127,73.75,391161.62,391161.62,100,28848169.475,28848169.475,3.259843150675
128,64.3333333333333,167779.03,138094.67,82.3074671489041,10793784.2633333,8884090.43666667,1.00390221934333
129,67,366873.99,366873.99,100,24580557.33,24580557.33,2.77760297829
130,47.3333333333333,43997.06,29148.95,66.2520404772501,2082527.50666667,1379716.96666667,0.155908017233333
131,31.3333333333333,32301.4,23434.27,72.5487749756976,1012110.53333333,734273.793333333,0.0829729386466667
132,78.6666666666667,96036.66,78817.63,82.0703572989731,7554883.92,6200320.22666667,0.700636185613333
133,58.6666666666667,123295.47,123295.47,100,7233334.24,7233334.24,0.81736676912
134,66.6666666666667,159661.26,159661.26,100,10644084,10644084,1.202781492
135,57,9150.1,9150.1,100,521555.7,521555.7,0.0589357941
136,57,16997.1,9922.87,58.379782433474,968834.7,565603.59,0.06391320567
137,33,14412.89,14412.89,100,475625.37,475625.37,0.05374566681
138,70,31467.61,31467.61,100,2202732.7,2202732.7,0.2489087951
139,61.3333333333333,366879.64,366879.64,100,22501951.2533333,22501951.2533333,2.54272049162667
140,70,50852.51,50852.51,100,3559675.7,3559675.7,0.4022433541
141,91.3333333333333,143373.54,78482.41,54.7398146129335,13094783.32,7168060.11333333,0.809990792806667
142,60,47718.34,47718.34,100,2863100.4,2863100.4,0.3235303452
143,60,46025.97,27383.99,59.4968232065506,2761558.2,1643039.4,0.1856634522
144,82.6666666666667,271313.32,68369.58,25.1994926013953,22428567.7866667,5651885.28,0.63866303664
145,73.3333333333333,132387.47,50244.39,37.9525267761367,9708414.46666667,3684588.6,0.4163585118
146,52.6666666666667,59349.99,26132.25,44.0307572082152,3125766.14,1376298.5,0.1555217305
147,59.75,588919.83,60656.75,10.2996616704179,35187959.8425,3624240.8125,0.4095392118125
148,52.6666666666667,20889.76,11372.3,54.4395914553351,1100194.02666667,598941.133333333,0.0676803480666667
149,47,33138.61,17534.83,52.9135953499558,1557514.67,824137.01,0.09312748213
150,83,44247.01,26673.76,60.283757026746,3672501.83,2213922.08,0.25017319504
151,86,301563.54,241794.63,80.1803261760357,25934464.44,20794338.18,2.34976021434
152,68,95678.89,64719.97,67.6428938504617,6506164.52,4400957.96,0.49730824948
153,60,57206.61,57206.61,100,3432396.6,3432396.6,0.3878608158
154,48,57492.04,57492.04,100,2759617.92,2759617.92,0.31183682496
155,82.6666666666667,120927.57,101607.83,84.0237093989402,9996679.12,8399580.61333333,0.949152609306667
156,78.6666666666667,119989.78,119989.78,100,9439196.02666667,9439196.02666667,1.06662915101333
157,62.6666666666667,155735.44,155735.44,100,9759420.90666667,9759420.90666667,1.10281456245333
158,99,410999.45,89555.95,21.7897980155448,40688945.55,8866039.05,1.00186241265
159,94.6666666666667,141034.37,141034.37,100,13351253.6933333,13351253.6933333,1.50869166734667
160,84,112605.46,49268.67,43.7533579632817,9458858.64,4138568.28,0.46765821564
161,68.3333333333333,124705.54,80379.74,64.4556288357358,8521545.23333333,5492615.56666667,0.620665559033333
162,93.3333333333333,149019.61,60105.13,40.3337050741174,13908496.9333333,5609812.13333333,0.633908771066667
163,64.5,343559.97,122860.23,35.7609269787746,22159618.065,7924484.835,0.895466786355
164,45.3333333333333,39132.61,15906.39,40.6474037893205,1774011.65333333,721089.68,0.08148313384
165,63.6666666666667,37833.95,16888.43,44.6382944418968,2408761.48333333,1075230.04333333,0.121500994896667
166,72,163585.82,101185.29,61.8545604991924,11778179.04,7285340.88,0.82324351944
167,42,113833.13,113833.13,100,4780991.46,4780991.46,0.54025203498
168,65.3333333333333,41419.95,41419.95,100,2706103.4,2706103.4,0.3057896842
169,48,58914.86,27739.5,47.0840463679282,2827913.28,1331496,0.150459048
170,86,44042.75,23632.67,53.6584795454416,3787676.5,2032409.62,0.22966228706
171,45.3333333333333,53073.45,53073.45,100,2405996.4,2405996.4,0.2718775932
172,60,462454.06,462454.06,100,27747243.6,27747243.6,3.1354385268
173,57.3333333333333,130983.87,130983.87,100,7509741.88,7509741.88,0.84860083244
174,72,123625.66,123625.66,100,8901047.52,8901047.52,1.00581836976
175,60.6666666666667,288006.33,288006.33,100,17472384.02,17472384.02,1.97437939426
176,71.3333333333333,674280.3,392046.58,58.1429681395111,48098661.4,27965989.3733333,3.16015679918667
177,67.3333333333333,159424.64,159424.64,100,10734592.4266667,10734592.4266667,1.21300894421333
178,59,380301.74,324505.86,85.3285236086482,22437802.66,19145845.74,2.16348056862
179,65.3333333333333,501107.73,454417.3,90.6825564235459,32739038.36,29688596.9333333,3.35481145346667
180,62,459609.85,333029.17,72.4591019970525,28495810.7,20647808.54,2.33320236502
181,90,129684.79,48115.76,37.1020842151188,11671631.1,4330418.4,0.4893372792
182,87,288070.46,52789.9,18.3253430428097,25062130.02,4592721.3,0.5189775069
183,56,170077.14,71141.34,41.8288665954754,9524319.84,3983915.04,0.45018239952
184,45.3333333333333,107663.99,36654.48,34.0452550569601,4880767.54666667,1661669.76,0.18776868288
185,57,478449.07,121112.42,25.3135448669594,27271596.99,6903407.94,0.78008509722
186,75,81298.64,36080.91,44.3807055074968,6097398,2706068.25,0.30578571225
187,76.3333333333333,215689.1,215689.1,100,16464267.9666667,16464267.9666667,1.86046228023333
188,62,130720.55,41908.43,32.0595575829508,8104674.1,2598322.66,0.29361046058
189,101.5,337660.04,236287.51,69.9779310575216,34272494.06,23983182.265,2.710099595945
190,82,254505.1,254505.1,100,20869418.2,20869418.2,2.3582442566
191,50,37181.29,37181.29,100,1859064.5,1859064.5,0.2100742885
192,61.3333333333333,103605.95,81263.23,78.4349064894439,6354498.26666667,4984144.77333333,0.563208359386667
193,46.6666666666667,40242.48,22888.8,56.8772103508531,1877982.4,1068144,0.120700272
194,95,76621.42,76621.42,100,7279034.9,7279034.9,0.8225309437
195,62.6666666666667,64237.3,64237.3,100,4025537.46666667,4025537.46666667,0.454885733733333
196,71,26832.97,14927,55.6293246703589,1905140.87,1059817,0.119759321
197,83,307514.78,307514.78,100,25523726.74,25523726.74,2.88418112162
198,79.6666666666667,147448.62,53038.35,35.9707333985221,11746740.06,4225388.55,0.47746890615
199,79.6666666666667,115593.65,69200.57,59.8653732276816,9208960.78333333,5512978.74333334,0.622966597996667
