"species","ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa","comprimento","largura","raio"
"tlaevigata",1,375.84,119,190.72,52849.79,52849.79,100,4466268.42926509,4466268.42926509,0.504688332506956,NA,NA,NA
"tlaevigata",2,392.84,105,186.91,53367.25,40040.99,75.029142404752,4036790.0368192,3028768.94530592,0.342250890819569,NA,NA,NA
"toblonga",1,148.84,78,142.04,15420.64,10208.11,66.1977064505753,863422.874265354,571566.139733299,0.0645869737898628,NA,NA,NA
"toblonga",2,268.64,94,167.2,33880.43,33880.43,100,2210718.40985456,2210718.40985456,0.249811180313566,NA,NA,NA
"toblonga",3,272.72,107,254.13,39738.59,39738.59,100,3882892.1218229,3882892.1218229,0.438766809765987,NA,NA,NA
"toblonga",4,366.49,150,191.66,52967.21,33648.53,63.5270953482353,5516752.42098941,3504632.57060802,0.396023480478706,NA,NA,NA
"toblonga",5,257.58,88,174.66,31580.05,31580.05,100,2072940.75090451,2072940.75090451,0.23424230485221,NA,NA,NA
"toblonga",6,278.22,129,179.64,37713.91,37713.91,100,3375823.44746862,3375823.44746862,0.381468049563954,NA,NA,NA
"tbaldai",1,877.5,NA,NA,391631.5,179854.24,45.9243549101643,38527685.352,17693590.9597238,1.9993757784488,409.28,643.66,NA
"tbaldai",2,196.14,NA,NA,26070.03,8107.04,31.097164061568,733338.653572,228047.524228179,0.0257693702377842,120.79,185.72,NA
"tbaldai",3,154.13,NA,NA,16252.5,6352.47,39.086109829257,421617.854951833,164794.017846231,0.0186217240166241,110.83,148.09,NA
"tbaldai",4,322.97,NA,NA,63564.79,63564.79,100,3020769.964169,3020769.964169,0.341347005951097,205.54,273.03,NA
"tbaldai",5,698.49,NA,NA,222123,104383.25,46.9934450732252,19404493.41285,9118839.95370527,1.0304289147687,347.62,479.5,NA
"tbaldai",6,928.3,NA,NA,506773.89,506773.89,100,60904583.1307,60904583.1307,6.8822178937691,532.2,739.67,NA
"tbaldai",7,297.75,NA,NA,55018.84,26293.98,47.790865819781,2741587.1964,1310228.25836382,0.148055793195112,217.71,253.76,NA
"tbrongnartii",1,580.68,NA,NA,56200,30915.56,55.0098932384342,4875040.09776,2681754.35310863,0.303038241901275,145.04,347.3,NA
"tbrongnartii",2,319.55,NA,NA,46377.04,23887.5,51.5071682021966,1613216.27858417,830922.022075563,0.0938941884945386,126.31,239.81,NA
"tbrongnartii",3,291.27,NA,NA,30635.53,30635.53,100,668825.0529345,668825.0529345,0.0755772309815985,96.03,143.47,NA
"tbrongnartii",4,244.2,NA,NA,23942.63,23942.63,100,551540.07524,551540.07524,0.06232402850212,98.12,138.11,NA
"tbrongnartii",5,365.57,NA,NA,59794.26,29818.11,49.8678468468378,1797605.03519817,896426.925863667,0.101296242622594,113.83,259.19,NA
"tbrongnartii",6,274.91,NA,NA,33496.78,33496.78,100,1091146.97627833,1091146.97627833,0.123299608319452,123.97,192.1,NA
"tbrongnartii",7,302.18,NA,NA,36217.13,36217.13,100,1004871.305952,1004871.305952,0.113550457572576,114.04,174.96,NA
"tbrongnartii",8,505.83,NA,NA,77086.37,77086.37,100,3178355.759956,3178355.759956,0.359154200875028,171.32,220.06,NA
"tbrongnartii",9,308.56,NA,NA,38774.01,38774.01,100,821352.485268,821352.485268,0.092812830835284,93.69,170.47,NA
"tbrongnartii",10,308.6,NA,NA,33841.21,33841.21,100,866429.07863,866429.07863,0.09790648588519,108.97,154.59,NA
"tbrongnartii",11,318.04,NA,NA,44211.6,22659.08,51.2514362746429,1689024.46848733,865649.299129911,0.0978183708016799,143.23,222.47,NA
"tbrongnartii",12,326.11,NA,NA,42569.19,27364.69,64.2828533970226,1284730.42794083,825861.377540147,0.0933223356620366,119.17,198.35,NA
"tbrongnartii",13,254.75,NA,NA,30535.83,30535.83,100,827435.515125,827435.515125,0.093500213209125,102.15,190.78,NA
"tbrongnartii",14,237.85,NA,NA,22044.99,22044.99,100,449085.742536667,449085.742536667,0.0507466889066433,90.11,125.72,NA
"tbrongnartii",15,223.95,NA,NA,28723.9,14817.49,51.585926702154,765501.42593,394891.004484193,0.0446226835067138,101.51,202.04,NA
"tbrongnartii",16,278.01,NA,NA,33871.81,33871.81,100,789036.416784,789036.416784,0.089161115096592,98.73,172.48,NA
"tbrongnartii",17,345.17,NA,NA,62228.91,62228.91,100,2518190.61141667,2518190.61141667,0.284555539090083,139.85,313,NA
"tbrongnartii",18,247.67,NA,NA,23510.52,14026.73,59.6615047221414,511868.736278667,305388.590266062,0.034508910700065,93.68,132.37,NA
"tbrongnartii",19,306.2,NA,NA,33029.13,17765.2,53.7864606182482,817067.499233333,439471.688699642,0.0496603008230596,103.3,154.99,NA
"tbrongnartii",20,323.98,NA,NA,43615.85,43615.85,100,1012897.470605,1012897.470605,0.114457414178365,101.37,185.05,NA
"tbrongnartii",21,336.63,NA,NA,38070.97,18047.31,47.4043871222614,988493.2193185,468589.152363046,0.0529505742170242,108.71,162.07,NA
"tbrongnartii",22,391.1,NA,NA,50134.74,24889,49.6442187592875,1546643.180025,767818.923717211,0.0867635383800449,132.95,178.47,NA
"tbrongnartii",23,288.58,NA,NA,33077.69,33077.69,100,815827.34749,815827.34749,0.09218849026637,103.02,164.65,NA
"tbrongnartii",24,270.92,NA,NA,24998.69,11244.12,44.9788368910531,515793.7512,231998.030046492,0.0262157773952536,90.66,126,NA
"tbrongnartii",25,232.71,NA,NA,22809.05,12908.19,56.5924052075821,457628.675275,258983.074257718,0.0292650873911221,86.95,135.7,NA
"tbrongnartii",26,233.92,NA,NA,28513.01,28513.01,100,784989.449456,784989.449456,0.088703807788528,100.79,199.77,NA
"tbrongnartii",27,350.56,NA,NA,43525.68,43525.68,100,1222588.00264533,1222588.00264533,0.138152444298923,117.61,177.92,NA
"tbrongnartii",28,273.32,NA,NA,36169.37,36169.37,100,1430155.98333467,1430155.98333467,0.161607626116817,134.38,233.63,NA
"tbrongnartii",29,244.35,NA,NA,22849.51,18130.17,79.3459903516531,582417.46143,462124.90275259,0.0522201140110427,113.61,125.88,NA
"tbrongnartii",30,314.88,NA,NA,42826.22,42826.22,100,1400284.11264,1400284.11264,0.15823210472832,130.45,204.54,NA
"tbrongnartii",31,233.1,NA,NA,25970.38,17075.45,65.7497117870436,249479.365905,164031.964050681,0.018535611937727,41.03,156.51,NA
"tbrongnartii",32,185.26,NA,NA,12730.9,12730.9,100,226451.17155,226451.17155,0.02558898238515,76.5,95.87,NA
"tbrongnartii",33,188.74,NA,NA,13848.04,13848.04,100,210961.014498667,210961.014498667,0.0238385946383493,70.18,95.56,NA
"tbrongnartii",34,296.94,NA,NA,45596.47,23061.97,50.5784110041852,1909068.752416,965576.639949435,0.109110160314286,132.98,290.08,NA
"tbrongnartii",35,224.1,NA,NA,19749.77,19749.77,100,439561.18404,439561.18404,0.04967041379652,95.44,123.31,NA
"tbrongnartii",36,456.26,NA,NA,78871.18,78871.18,100,3012825.034324,3012825.034324,0.340449228878612,168.18,235.58,NA
"tbrongnartii",37,291.06,NA,NA,38436.56,38436.56,100,1041317.619804,1041317.619804,0.117668891037852,121.98,175.98,NA
"tbrongnartii",38,263.5,NA,NA,34093.3,34093.3,100,1053506.3591,1053506.3591,0.1190462185783,129.48,185.27,NA
"tbrongnartii",39,223.49,NA,NA,24661.46,24661.46,100,472445.866036667,472445.866036667,0.0533863828621433,81.41,155.8,NA
"tbrongnartii",40,302.85,NA,NA,47789.34,24370.18,50.9950126952998,1853762.263875,945326.301803734,0.106821872103822,146.7,250.35,NA
"tbrongnartii",41,303.68,NA,NA,32611.11,32611.11,100,839093.015072,839093.015072,0.094817510703136,111.73,148.38,NA
"tbrongnartii",42,296.91,NA,NA,42951.15,42951.15,100,1433326.047615,1433326.047615,0.161965843380495,127.05,227.98,NA
"tbrongnartii",43,356.27,NA,NA,54909.08,54909.08,100,1727828.6801505,1727828.6801505,0.195244640857006,136.53,213.13,NA
"tbrongnartii",44,301.45,NA,NA,27889.14,17748.19,63.6383552881157,822475.064635,523409.603788581,0.0591452852281096,115.26,142.03,NA
"tquadrilateris",1,196.6,NA,NA,24023.43,24023.43,100,951686.535,951686.535,0.107540578455,171,169.85,NA
"tquadrilateris",2,571.95,NA,NA,224918.07,224918.07,100,19402093.9845,19402093.9845,2.1924366202485,366,556.11,NA
"ttrigonula",1,296.06,NA,NA,60726.17,60726.17,100,2299284.8568,2299284.8568,0.2598191888184,162,287.64,NA
"ttrigonula",2,434.71,NA,NA,99584.81,99584.81,100,4254332.886,4254332.886,0.480739616118,180,326.22,NA
"ttrigonula",3,334.28,NA,NA,53250.52,53250.52,100,1756474.26,1756474.26,0.19848159138,150,210.18,NA
"ttrigonula",4,314.91,NA,NA,46285.6,14118.01,30.5019487702439,1698728.4603,518145.284706259,0.0585504171718072,162,199.79,NA
"ttrigonula",5,249.48,NA,NA,37098.2,37098.2,100,1533850.4412,1533850.4412,0.1733250998556,183,201.58,NA
"ttrigonula",6,324.03,NA,NA,50398.89,30428.65,60.3756352570463,2502715.9115,1511030.6302473,0.170746461217945,205,226.06,NA
"ttrigonula",7,478.8,NA,NA,114162.05,39994.36,35.032972866202,6751261.944,2365167.76496774,0.267263957441355,276,306.53,NA
"ttrigonula",8,407.79,NA,NA,102065.46,102065.46,100,7902766.305,7902766.305,0.893012592465,300,387.59,NA
"ttrigonula",9,361.99,NA,NA,65914.47,65914.47,100,2672463.573,2672463.573,0.301988383749,180,246.09,NA
"ttrigonula",10,383.23,NA,NA,75064.99,75064.99,100,4391292.05233333,4391292.05233333,0.496216001913667,260,264.43,NA
"ttrigonula",11,395.7,NA,NA,78411.45,78411.45,100,5222646.45,5222646.45,0.59015904885,300,263.97,NA
"ttrigonula",12,470.64,NA,NA,149319.56,149319.56,100,12374608.116,12374608.116,1.398330717108,390,404.51,NA
"ttrigonula",13,197.35,NA,NA,18718.97,18718.97,100,479307.892,479307.892,0.054161791796,112,130.11,NA
"ttrigonula",14,399.72,NA,NA,112391.91,112391.91,100,7204160.222,7204160.222,0.814070105086,290,372.89,NA
"ttrigonula",15,422.35,NA,NA,94432.77,94432.77,100,4572445.57,4572445.57,0.51668634941,220,295.26,NA
"tplanciana",1,225.76,114,180.88,27326.86,27326.86,100,2437479.7672898,2437479.7672898,0.275435213703747,NA,NA,NA
"tplanciana",2,283.08,99,137.11,28843.27,28843.27,100,2011926.61013943,2011926.61013943,0.227347706945755,NA,NA,NA
"tplanciana",3,388.47,200,251.7,70460.64,70460.64,100,10239277.6407318,10239277.6407318,1.15703837340269,NA,NA,NA
"tplanciana",4,314.25,130,252.82,47446.34,26962.22,56.826764719892,5407900.44526247,3073134.86231529,0.347264239441628,NA,NA,NA
"treticulata",1,659.9,NA,NA,192906.57,192906.57,100,11488808.05572,11488808.05572,1.29823531029636,263.88,395.86,NA
"treticulata",2,947.73,NA,NA,417734.66,259137.39,62.0339691228877,26918696.565243,16698735.9155667,1.88695715845903,301.81,564.66,NA
"treticulata",3,317.57,NA,NA,58673.03,58673.03,100,2143623.699525,2143623.699525,0.242229478046325,151.5,267.33,NA
"treticulata",4,852.49,NA,NA,372647.71,189648.03,50.8920422454763,34433020.1202843,17523667.1460085,1.98017438749896,442.61,547.54,NA
"treticulata",5,1053.83,NA,NA,577325.83,269643.59,46.7056168264635,61721919.440775,28827603.1919468,3.25751916068999,445.5,788.81,NA
"treticulata",6,1045.31,NA,NA,519433.45,282285.82,54.3449444774879,63202865.6418133,34347562.2412247,3.8812745332584,550.4,659.12,NA
"treticulata",7,476.47,NA,NA,99264.66,99264.66,100,4145756.86177533,4145756.86177533,0.468470525380613,183.23,284.92,NA
"treticulata",8,270.1,NA,NA,39157.76,39157.76,100,1258939.20164833,1258939.20164833,0.142260129786262,140.23,199.43,NA
"trotunda",1,165.01,114.78,124.97,15487.74,15487.74,100,1239312.63349054,1239312.63349054,0.140042327584432,NA,NA,NA
"trotunda",2,163.2,97.29,137.21,17497.38,17497.38,100,1140703.42231771,1140703.42231771,0.128899486721901,NA,NA,NA
"trotunda",3,203.4,107,149.3,21817.9,21817.9,100,1701348.00575443,1701348.00575443,0.192252324650251,NA,NA,NA
"trotunda",4,399.55,84,239.54,17170.48,12815.79,74.6385074849393,4209466.80054196,3141883.19299854,0.355032800808835,NA,NA,NA
"trotunda",5,399.55,186.61,239.54,72254.69,46501.77,64.3581337073068,9351530.94820399,6018470.7913253,0.680087199419758,NA,NA,NA
"trotunda",6,423.99,174,323.1,108201.47,108201.47,100,12480743.0556049,12480743.0556049,1.41032396528335,NA,NA,NA
"trotunda",7,253.56,131.17,164.86,31395.29,31395.29,100,2870973.47144181,2870973.47144181,0.324420002272925,NA,NA,NA
"tschreiberiana",1,513.04,NA,NA,135353.47,86888.35,64.1936627114177,8170728.9092,5245090.15703615,0.592695187745085,289.25,330.36,NA
"tschreiberiana",2,361.77,NA,NA,59388.92,59388.92,100,2379553.426047,2379553.426047,0.268889537143311,186.06,212.11,NA
"tschreiberiana",3,203.18,NA,NA,26388.77,26388.77,100,1021180.404384,1021180.404384,0.115393385695392,149.94,201.12,NA
"tschreiberiana",4,284.69,NA,NA,46040.25,23039.39,50.0418438214389,1996785.57775667,999228.320270007,0.112912800190511,160.55,262.12,NA
"tschreiberiana",5,335.2,NA,NA,50848.03,50848.03,100,2321100.41128,2321100.41128,0.26228434647464,201.47,206.22,NA
"tschreiberiana",6,317.57,NA,NA,58709.13,58709.13,100,2274523.05778133,2274523.05778133,0.257021105529291,196.91,218.24,NA
"tschreiberiana",7,582.45,NA,NA,150700.91,150700.91,100,13431527.6502,13431527.6502,1.5177626244726,387.7,356.88,NA
"tschreiberiana",8,248.59,NA,NA,31118.75,31118.75,100,1251619.476814,1251619.476814,0.141433000879982,160.44,188.29,NA
"tschreiberiana",9,423.6,NA,NA,77565.87,77565.87,100,4194800.91816,4194800.91816,0.47401250375208,256.26,231.86,NA
"tschreiberiana",10,312.84,NA,NA,48798.01,17838.6,36.5559989024142,2519774.86365,921128.871499204,0.10408756247941,218.25,221.43,NA
"tschreiberiana",11,413.74,NA,NA,85199.1,85199.1,100,5731385.01233467,5731385.01233467,0.647646506393817,293.26,283.42,NA
"tbertheliniana",1,580.68,NA,NA,138118.33,138118.33,100,9680167.872,9680167.872,1.093858969536,288,347.3,NA
"tbertheliniana",2,387.74,NA,NA,90526.59,57065.92,63.0377439379966,3941256.9006,2484479.43293885,0.28074617592209,178,342.63,NA
"tsommeri",1,144,219.35,NA,37790.2,37790.2,100,1813870.99532943,1813870.99532943,0.204967422472225,NA,NA,109.68
"tsommeri",2,110,219.67,NA,37899.58,9200.51,24.2760210007604,1389641.61709706,337349.690801789,0.0381205150606022,NA,NA,109.84
"tsommeri",3,134,215.6,NA,36509.23,36509.23,100,1630688.23578648,1630688.23578648,0.184267770643873,NA,NA,107.8
"tsommeri",4,140,218.53,NA,37506.96,37506.96,100,1750325.39491319,1750325.39491319,0.19778676962519,NA,NA,109.26
"tsommeri",5,520,929.73,NA,678893.76,230136.87,33.8988047260885,117675393.664221,39890551.9088902,4.50763236570459,NA,NA,464.86
"tsommeri",6,150,256.28,NA,51585.39,18606.35,36.0690303979479,2579225.51495357,930301.635020232,0.105124084757286,NA,NA,128.14
"tsommeri",7,72,141.91,NA,15817.7,15817.7,100,379600.803683522,379600.803683522,0.0428948908162379,NA,NA,70.96
"tsommeri",8,130,250.55,NA,32563.93,32563.93,100,2136489.6495218,2136489.6495218,0.241423330395964,NA,NA,125.28
"tsommeri",9,149,264.77,NA,55060.23,55060.23,100,2734591.41464658,2734591.41464658,0.309008829855063,NA,NA,132.39
"tsommeri",10,107,221.72,NA,38610.89,16468.39,42.6521895765677,1377089.42810154,587358.79351274,0.0663715436669396,NA,NA,110.86
"tsommeri",11,234,401.58,NA,126658.49,126658.49,100,9879355.98831787,9879355.98831787,1.11636722667992,NA,NA,200.79
"tsommeri",12,258,477.83,NA,179319.78,88687.36,49.4576560377221,15421803.2648744,7627262.41355576,0.861880652731801,NA,NA,238.91
"tsommeri",13,207,367.75,NA,106219.57,66880,62.9639152182597,7328993.47361964,4614621.23708166,0.521452199790227,NA,NA,183.88
"tsommeri",14,168,292.83,NA,67348.07,67348.07,100,3771455.98319115,3771455.98319115,0.4261745261006,NA,NA,146.42
"tsommeri",15,329,482.93,NA,183168.38,43380.35,23.6833180486719,20087823.9970361,4757463.24627549,0.537593346829131,NA,NA,241.46
"tsommeri",16,346,540.16,NA,229162.03,229162.03,100,26429537.7064547,26429537.7064547,2.98653776082939,NA,NA,270.08
"tsommeri",17,277,432.57,NA,146961.55,45345.53,30.8553699930356,13569416.9983933,4186893.82075213,0.473119001744991,NA,NA,216.29
"tsommeri",18,360,711.04,NA,397079.95,397079.95,100,47649592.7657833,47649592.7657833,5.38440398253351,NA,NA,355.52
"tsommeri",19,211,290.16,NA,66122.84,66122.84,100,4650783.97263014,4650783.97263014,0.525538588907206,NA,NA,145.08
"tsommeri",20,206,326,NA,83469.57,83469.57,100,5731536.29872332,5731536.29872332,0.647663601755735,NA,NA,163
"tsommeri",21,460,597.88,NA,280752.75,280752.75,100,43048151.7599195,43048151.7599195,4.8644411488709,NA,NA,298.94
"tsommeri",22,107,220.05,NA,38029.53,38029.53,100,1356423.01550156,1356423.01550156,0.153275800751677,NA,NA,110.02
"tsommeri",23,137,210.44,NA,34781.86,34781.86,100,1588348.43741158,1588348.43741158,0.179483373427509,NA,NA,105.22
"tsommeri",24,112,177.67,NA,24791.49,24791.49,100,925581.901661985,925581.901661985,0.104590754887804,NA,NA,88.83
"tsommeri",25,100,169.08,NA,22453.72,22453.72,100,748433.304687093,748433.304687093,0.0845729634296415,NA,NA,84.54
"tsommeri",26,110,219.56,NA,37860.04,13813.48,36.4856455513518,1388250.23634113,506512.060597228,0.0572358628474868,NA,NA,109.78
"tsommeri",27,340,625.16,NA,306952.63,306952.63,100,34788035.8336891,34788035.8336891,3.93104804920687,NA,NA,312.58
"tsommeri",29,180,326.27,NA,83605.62,83605.62,100,5016437.63834128,5016437.63834128,0.566857453132565,NA,NA,163.13
"tsommeri",30,120,240.48,NA,45421.51,45421.51,100,1816802.83640829,1816802.83640829,0.205298720514137,NA,NA,120.24
"tsommeri",31,160,239.41,NA,45015,30079.93,66.8220148839276,2400895.0855892,1604326.4714399,0.181288891272709,NA,NA,119.7
"tsommeri",33,296,420.68,NA,138995.37,138995.37,100,13713997.5725295,13713997.5725295,1.54968172569584,NA,NA,210.34
"tsommeri",34,118,196.45,NA,30310.87,30310.87,100,1192215.32570863,1192215.32570863,0.134720331805075,NA,NA,98.23
"tsommeri",35,114,192.03,NA,28962.84,28962.84,100,1100554.7229327,1100554.7229327,0.124362683691395,NA,NA,96.02
"tsommeri",36,132,419.13,NA,137971.59,59605.79,43.2014953223341,6070717.9073809,2622640.91278926,0.296358423145186,NA,NA,209.57
"tsommeri",37,353,629.44,NA,311167.99,311167.99,100,36614407.3195988,36614407.3195988,4.13742802711467,NA,NA,314.72
"tsommeri",38,189,325.3,NA,83108.74,83108.74,100,5235986.9738865,5235986.9738865,0.591666528049174,NA,NA,162.65
"tsommeri",39,170,317.54,NA,79192.19,43952.07,55.5005108458296,4487602.99272767,2490642.5856966,0.281442612183715,NA,NA,158.77
"tsommeri",40,137,275.67,NA,59683.56,38975.18,65.3030415745978,2725638.19424489,1779924.64316086,0.201131484677177,NA,NA,137.83
"tsommeri",41,133,227.35,NA,40594.12,40594.12,100,1799741.72229247,1799741.72229247,0.203370814619049,NA,NA,113.67
"tsommeri",42,136,211.95,NA,35282.22,35282.22,100,1599463.65841905,1599463.65841905,0.180739393401353,NA,NA,105.97
"tsommeri",43,152,202.66,NA,32258.73,19738.93,61.1894206622517,1634362.13235996,1000056.72031428,0.113006409395514,NA,NA,101.33
"tsommeri",44,70,116.77,NA,10709.24,10709.24,100,249878.693832945,249878.693832945,0.0282362924031228,NA,NA,58.39
"tsommeri",45,140,232.46,NA,42442.25,42442.25,100,1980583.37523633,1980583.37523633,0.223805921401706,NA,NA,116.23
"tsommeri",46,144,212.75,NA,35549.44,23119.16,65.0338233176106,1706358.40621459,1109710.11106279,0.125397242550096,NA,NA,106.38
"tsommeri",47,115,188.25,NA,27832.27,27832.27,100,1066931.25287743,1066931.25287743,0.12056323157515,NA,NA,94.12
"tsommeri",48,317,472.62,NA,175435.79,128304.69,73.1348432380873,18537539.1239449,13557400.1784962,1.53198622017007,NA,NA,236.31
"tsommeri",49,229,303.9,NA,72535.66,22671.68,31.2559091624726,5536885.07403914,1730603.76917218,0.195558225916456,NA,NA,151.95
"tsommeri",50,140,241.32,NA,45738.06,45738.06,100,2134436.77868184,2134436.77868184,0.241191355991048,NA,NA,120.66
"tsommeri",51,149,231.32,NA,42026.71,42026.71,100,2087282.64622544,2087282.64622544,0.235862939023474,NA,NA,115.66
"tsommeri",52,332,520.12,NA,212467.51,78845.73,37.1095467725865,23513312.6268105,8725683.74703075,0.986002263414474,NA,NA,260.06
"tsommeri",53,300,418.18,NA,137343.41,137343.41,100,13734612.0881918,13734612.0881918,1.55201116596567,NA,NA,209.09
"tsommeri",54,120,187.38,NA,27577.48,27577.48,100,1103052.90311692,1103052.90311692,0.124644978052212,NA,NA,93.69
"tsommeri",55,84,219.87,NA,37968.89,37968.89,100,1063114.06912695,1063114.06912695,0.120131889811345,NA,NA,109.94
"tsommeri",56,120,222.63,NA,38928.94,18176.43,46.6913047208581,1557102.65555037,727031.545719597,0.0821545646663145,NA,NA,111.32
"tsommeri",57,333,583.01,NA,266954.22,266954.22,100,29632266.3178625,29632266.3178625,3.34844609391846,NA,NA,291.5
"tsommeri",58,292,605.71,NA,288146.57,288146.57,100,28046648.1095856,28046648.1095856,3.16927123638318,NA,NA,302.85
"tsommeri",59,219,358.12,NA,100729.46,100729.46,100,7353090.19511315,7353090.19511315,0.830899192047786,NA,NA,179.06
"tsommeri",60,360,581.94,NA,265981.91,265981.91,100,31917402.9783682,31917402.9783682,3.60666653655561,NA,NA,290.97
"tsommeri",61,301,528.13,NA,219061.98,219061.98,100,21979448.8594119,21979448.8594119,2.48367772111355,NA,NA,264.06
"tsommeri",62,324,545.47,NA,233689.64,233689.64,100,25238025.6286179,25238025.6286179,2.85189689603382,NA,NA,272.74
"tsommeri",64,155,245.95,NA,47509.03,47509.03,100,2454674.88227036,2454674.88227036,0.277378261696551,NA,NA,122.97
"tsommeri",65,280,469.26,NA,172945.6,172945.6,100,16141865.7342743,16141865.7342744,1.824030827973,NA,NA,234.63
"tsommeri",66,157,259.75,NA,52991.09,52991.09,100,2773188.50635355,2773188.50635355,0.313370301217951,NA,NA,129.88
"tsommeri",68,256,414.15,NA,134711.33,64260.72,47.7025354882919,11495395.6483935,5483595.18869447,0.619646256322475,NA,NA,207.07
"tsommeri",69,359,657.61,NA,339645.74,339645.74,100,40644322.876013,40644322.876013,4.59280848498947,NA,NA,328.8
"tsommeri",70,380,596.84,NA,279772.27,279772.27,100,35437907.2148152,35437907.2148152,4.00448351527412,NA,NA,298.42
"tsommeri",71,123,245.58,NA,47365.09,47365.09,100,1942046.96433395,1942046.96433395,0.219451306969737,NA,NA,122.79
"tsommeri",72,103,198.76,NA,31027.32,31027.32,100,1065280.13264979,1065280.13264979,0.120376654989427,NA,NA,99.38
"tsommeri",73,159,272.47,NA,58307.8,58307.8,100,3090317.73673995,3090317.73673995,0.349205904251614,NA,NA,136.23
